datetime,ticker,name,price,variation_pct
2026-06-13 19:02,SOI.PA,Soitec,137.35,6.80
2026-06-13 19:02,GLE.PA,Société Générale,73.40,6.15
2026-06-13 19:02,OVH.PA,OVHcloud,15.75,4.65
2026-06-13 19:02,SAF.PA,Safran,306.10,3.66
2026-06-13 19:02,MC.PA,LVMH,510.60,3.53
2026-06-13 19:02,VLA.PA,Valneva,2.29,3.25
2026-06-13 19:02,AIR.PA,Airbus,179.28,2.29
2026-06-13 19:02,AI.PA,Air Liquide,168.30,1.99
2026-06-13 19:02,OR.PA,L'Oréal,390.25,1.81
2026-06-13 19:02,TEP.PA,Teleperformance,55.68,1.61
2026-06-13 19:02,CAP.PA,Capgemini,96.72,1.32
2026-06-13 19:02,SU.PA,Schneider Electric,265.30,0.38
2026-06-13 19:02,STM,STMicroelectronics,77.30,-1.05
2026-06-13 19:02,HO.PA,Thales,234.70,-1.30
2026-06-13 19:02,EXA.PA,Exail Technologies,100.60,-16.17
2026-06-13 19:08,SOI.PA,Soitec,137.35,6.80
2026-06-13 19:08,GLE.PA,Société Générale,73.40,6.15
2026-06-13 19:08,SAF.PA,Safran,306.10,3.66
2026-06-13 19:08,MC.PA,LVMH,510.60,3.53
2026-06-13 19:08,VLA.PA,Valneva,2.29,3.25
2026-06-13 19:08,AIR.PA,Airbus,179.28,2.29
2026-06-13 19:08,AI.PA,Air Liquide,168.30,1.99
2026-06-13 19:08,OR.PA,L'Oréal,390.25,1.81
2026-06-13 19:08,CAP.PA,Capgemini,96.72,1.32
2026-06-13 19:08,STM,STMicroelectronics,77.30,-1.05
2026-06-13 19:08,HO.PA,Thales,234.70,-1.30
2026-06-13 19:08,EXA.PA,Exail Technologies,100.60,-16.17
2026-06-13 19:16,SOI.PA,Soitec,137.35,6.80
2026-06-13 19:16,GLE.PA,Société Générale,73.40,6.15
2026-06-13 19:16,STMPA.PA,STMicroelectronics,67.75,4.47
2026-06-13 19:16,SAF.PA,Safran,306.10,3.66
2026-06-13 19:16,MC.PA,LVMH,510.60,3.53
2026-06-13 19:16,VLA.PA,Valneva,2.29,3.25
2026-06-13 19:16,AIR.PA,Airbus,179.28,2.29
2026-06-13 19:16,AI.PA,Air Liquide,168.30,1.99
2026-06-13 19:16,OR.PA,L'Oréal,390.25,1.81
2026-06-13 19:16,CAP.PA,Capgemini,96.72,1.32
2026-06-13 19:16,HO.PA,Thales,234.70,-1.30
2026-06-13 19:16,EXA.PA,Exail Technologies,100.60,-16.17
2026-06-14 12:33,SOI.PA,Soitec,137.35,6.80
2026-06-14 12:33,GLE.PA,Société Générale,73.40,6.15
2026-06-14 12:33,STMPA.PA,STMicroelectronics,67.75,4.47
2026-06-14 12:33,SAF.PA,Safran,306.10,3.66
2026-06-14 12:33,MC.PA,LVMH,510.60,3.53
2026-06-14 12:33,VLA.PA,Valneva,2.29,3.25
2026-06-14 12:33,AIR.PA,Airbus,179.28,2.29
2026-06-14 12:33,AI.PA,Air Liquide,168.30,1.99
2026-06-14 12:33,OR.PA,L'Oréal,390.25,1.81
2026-06-14 12:33,CAP.PA,Capgemini,96.72,1.32
2026-06-14 12:33,HO.PA,Thales,234.70,-1.30
2026-06-14 12:33,EXA.PA,Exail Technologies,100.60,-16.17
2026-06-14 18:14,SOI.PA,Soitec,137.35,6.80
2026-06-14 18:14,GLE.PA,Société Générale,73.40,6.15
2026-06-14 18:14,STMPA.PA,STMicroelectronics,67.75,4.47
2026-06-14 18:14,SAF.PA,Safran,306.10,3.66
2026-06-14 18:14,MC.PA,LVMH,510.60,3.53
2026-06-14 18:14,VLA.PA,Valneva,2.29,3.25
2026-06-14 18:14,AIR.PA,Airbus,179.28,2.29
2026-06-14 18:14,AI.PA,Air Liquide,168.30,1.99
2026-06-14 18:14,OR.PA,L'Oréal,390.25,1.81
2026-06-14 18:14,CAP.PA,Capgemini,96.72,1.32
2026-06-14 18:14,HO.PA,Thales,234.70,-1.30
2026-06-14 18:14,EXA.PA,Exail Technologies,100.60,-16.17
2026-06-15 18:25,EXA.PA,Exail Technologies,105.00,4.37
2026-06-15 18:25,GLE.PA,Société Générale,76.00,3.54
2026-06-15 18:25,SAF.PA,Safran,316.40,3.36
2026-06-15 18:25,AIR.PA,Airbus,183.68,2.45
2026-06-15 18:25,SOI.PA,Soitec,138.80,1.06
2026-06-15 18:25,STMPA.PA,STMicroelectronics,68.45,1.03
2026-06-15 18:25,MC.PA,LVMH,512.60,0.39
2026-06-15 18:25,VLA.PA,Valneva,2.29,0.26
2026-06-15 18:25,CAP.PA,Capgemini,96.46,-0.27
2026-06-15 18:25,OR.PA,L'Oréal,385.85,-1.13
2026-06-15 18:25,AI.PA,Air Liquide,165.86,-1.45
2026-06-15 18:25,HO.PA,Thales,230.60,-1.75
2026-06-16 20:14,SAF.PA,Safran,324.00,2.40
2026-06-16 20:14,GLE.PA,Société Générale,77.18,1.55
2026-06-16 20:14,MC.PA,LVMH,520.30,1.50
2026-06-16 20:14,CAP.PA,Capgemini,97.60,1.18
2026-06-16 20:14,AI.PA,Air Liquide,167.38,0.92
2026-06-16 20:14,AIR.PA,Airbus,185.30,0.88
2026-06-16 20:14,OR.PA,L'Oréal,386.15,0.08
2026-06-16 20:14,EXA.PA,Exail Technologies,104.90,-0.10
2026-06-16 20:14,VLA.PA,Valneva,2.28,-0.57
2026-06-16 20:14,HO.PA,Thales,228.10,-1.08
2026-06-16 20:14,STMPA.PA,STMicroelectronics,65.68,-4.05
2026-06-16 20:14,SOI.PA,Soitec,128.65,-7.31
